RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,percent,DelqEver,DelqLast12M,PercentSatisfactoryTrades,NumTradesWBalance
Good,71,308.0,7,104,39,0,0,98,73.0,7,6,40,3,30,0,0,0,75,99.0,11,1,5.0,81,0.15600624024961,True,False,98.0,32
Good,75,381.0,15,108,20,0,0,95,14.0,7,6,20,0,45,1,2,2,32,64.0,6,4,3.0,77,0.15600624024961,True,False,100.0,15
Bad,58,216.0,12,86,23,0,0,88,3.0,6,6,53,0,29,1,1,1,84,,7,1,5.0,75,0.5319148936170213,True,True,43.0,39
Bad,73,191.0,17,53,19,0,0,100,122.0,7,7,20,0,25,36,0,0,31,78.0,4,3,1.0,54,0.15600624024961,False,False,95.0,10
Good,89,280.0,23,107,16,0,0,100,122.0,7,7,16,0,50,0,0,0,7,38.0,1,2,0.0,60,0.15600624024961,False,False,100.0,9
Good,79,94.0,5,52,25,0,0,100,122.0,7,7,25,2,16,5,2,2,10,78.0,5,2,0.0,50,0.15600624024961,False,False,100.0,12
Bad,69,129.0,13,63,24,1,0,80,20.0,7,5,25,0,24,36,0,0,51,71.0,4,3,2.0,53,0.15600624024961,True,False,96.0,13
Bad,67,166.0,17,65,14,0,0,100,122.0,7,7,14,0,36,36,1,1,66,58.0,7,4,3.0,92,0.15600624024961,False,False,100.0,12
Bad,86,238.0,17,112,22,0,0,95,52.0,7,6,23,0,35,24,0,0,0,41.0,0,3,0.0,33,0.15600624024961,True,False,96.0,7
Bad,80,347.0,8,76,24,0,0,100,122.0,7,7,26,2,54,10,0,0,13,54.0,2,3,1.0,71,0.15600624024961,False,False,92.0,18
Good,62,89.0,22,61,24,0,0,92,31.0,7,6,25,0,36,11,0,0,70,,4,1,2.0,63,0.15600624024961,True,False,96.0,15
Bad,56,64.0,18,48,2,1,1,75,8.0,2,6,5,0,100,0,0,0,27,,3,1,0.5,100,0.5319148936170213,True,True,40.0,5
Good,69,469.0,4,106,33,1,1,78,8.0,6,3,36,2,25,0,0,0,2,,5,1,0.0,38,0.5319148936170213,True,True,92.0,13
Bad,66,387.0,57,174,13,1,1,80,26.0,7,4,15,0,40,1,1,1,38,45.0,4,2,3.0,86,0.15600624024961,True,False,87.0,12
Good,56,172.0,4,64,16,2,0,68,5.0,6,5,19,3,37,0,0,0,46,86.0,4,2,1.0,55,0.5319148936170213,True,True,84.0,10
Bad,70,159.0,3,62,29,0,0,86,1.0,6,6,29,6,48,36,1,1,9,69.0,2,6,2.0,57,0.5319148936170213,True,True,100.0,16
Bad,72,85.0,6,52,10,0,0,100,122.0,7,7,11,1,18,0,4,4,49,,2,1,1.0,50,0.15600624024961,False,False,91.0,5
Good,66,174.0,1,75,38,0,0,100,122.0,7,7,40,5,40,36,6,6,77,60.0,4,8,3.0,75,0.15600624024961,False,False,95.0,30
Bad,62,104.0,2,49,21,0,0,100,122.0,7,7,24,2,26,1,3,3,67,13.0,7,2,3.0,60,0.15600624024961,False,False,88.0,14
Good,91,344.0,26,145,16,0,0,100,122.0,7,7,16,0,38,7,0,0,2,,3,2,0.0,38,0.15600624024961,False,False,100.0,6
Bad,66,138.0,6,75,42,0,0,100,122.0,7,7,46,2,46,0,1,1,89,92.0,6,2,2.0,100,0.15600624024961,False,False,91.0,46
Bad,56,23.0,7,15,6,0,0,100,122.0,7,7,6,2,33,0,11,11,95,,3,1,1.0,100,0.15600624024961,False,False,100.0,6
Good,80,117.0,2,53,22,0,0,96,59.0,7,6,23,3,17,36,1,1,2,,2,1,1.0,25,0.15600624024961,True,False,96.0,5
Bad,64,199.0,23,69,18,1,1,89,18.0,7,6,20,0,20,0,2,2,51,0.0,7,3,2.0,67,0.15600624024961,True,False,90.0,13
Good,77,85.0,7,42,13,0,0,92,59.0,7,6,13,4,15,1,3,3,8,98.0,4,2,0.0,67,0.15600624024961,True,False,100.0,8
Bad,59,221.0,4,78,12,4,1,61,27.0,7,3,19,3,26,0,2,2,88,87.0,10,2,5.0,100,0.15600624024961,True,False,63.0,19
Good,81,148.0,1,72,16,0,0,94,62.0,7,6,18,2,39,0,2,2,0,94.0,0,3,0.5,75,0.15600624024961,True,False,89.0,13
Bad,58,165.0,8,79,27,0,0,96,19.0,7,6,27,1,37,4,1,1,85,78.0,9,5,5.0,100,0.15600624024961,True,False,100.0,27
Good,65,54.0,2,26,20,0,0,95,29.0,7,6,22,5,27,1,4,4,36,84.0,5,2,2.0,47,0.15600624024961,True,False,91.0,10
Bad,74,104.0,5,49,13,0,0,100,122.0,7,7,13,1,31,36,0,0,60,81.0,5,3,1.0,100,0.15600624024961,False,False,100.0,13
Good,81,271.0,3,85,19,0,0,95,16.0,7,6,21,3,33,4,1,1,6,,3,1,1.0,36,0.15600624024961,True,False,90.0,7
Bad,58,274.0,11,144,9,2,0,64,41.0,6,5,11,1,36,0,3,3,68,15.0,2,3,1.0,100,0.5319148936170213,True,True,82.0,11
Good,92,372.0,10,176,25,0,0,100,122.0,7,7,68,1,28,0,0,0,3,,2,2,0.0,67,0.15600624024961,False,False,37.0,45
Good,75,224.0,19,97,21,0,0,100,122.0,7,7,21,0,33,36,0,0,57,49.0,2,2,2.0,36,0.15600624024961,False,False,100.0,7
Bad,54,375.0,3,99,44,0,0,84,1.0,6,6,44,4,45,0,2,2,72,70.0,10,4,4.0,64,0.5319148936170213,True,True,100.0,28
Good,59,247.0,4,92,31,4,3,97,44.0,7,5,33,3,21,2,4,3,53,,5,1,3.0,47,0.15600624024961,True,False,94.0,15
Bad,57,208.0,4,69,20,0,0,65,3.0,6,6,20,2,40,0,6,6,70,100.0,4,3,2.0,64,0.5319148936170213,True,True,100.0,12
Bad,81,152.0,25,83,8,0,0,100,122.0,7,7,8,0,88,0,0,0,0,68.0,0,2,0.5,67,0.15600624024961,False,False,100.0,5
Good,72,131.0,7,57,24,0,0,100,122.0,7,7,24,2,25,0,0,0,28,42.0,6,2,2.0,50,0.15600624024961,False,False,100.0,12
Good,58,214.0,20,122,6,3,2,54,2.0,5,3,13,0,62,36,0,0,11,60.0,3,2,0.0,83,0.5319148936170213,True,True,46.0,10
Bad,68,103.0,5,47,36,0,0,100,122.0,7,7,36,3,31,36,1,1,80,80.0,8,4,5.0,71,0.15600624024961,False,False,100.0,25
Bad,75,232.0,10,126,16,3,0,76,7.0,6,5,21,2,5,0,0,0,24,,8,2,0.0,50,0.5319148936170213,True,True,76.0,10
Bad,67,68.0,3,21,8,0,0,100,122.0,7,7,8,3,13,0,1,1,57,,3,1,0.0,67,0.15600624024961,False,False,100.0,5
Good,78,306.0,1,80,19,0,0,90,13.0,7,6,20,3,40,0,1,1,9,,6,1,0.0,64,0.15600624024961,True,False,95.0,12
Bad,62,274.0,11,105,37,0,0,87,13.0,7,6,39,1,15,36,1,1,52,16.0,14,3,2.0,83,0.15600624024961,True,False,95.0,32
Bad,68,156.0,4,75,31,0,0,94,12.0,7,6,35,1,37,36,0,0,41,85.0,5,2,0.0,70,0.15600624024961,True,False,89.0,24
Good,56,195.0,2,57,40,0,0,95,7.0,6,6,83,2,37,1,4,4,38,83.0,8,6,4.0,71,0.5319148936170213,True,True,48.0,58
Bad,85,77.0,13,40,8,0,0,100,122.0,7,7,8,0,50,0,0,0,4,,1,1,0.0,40,0.15600624024961,False,False,100.0,3
Bad,65,298.0,16,102,28,0,0,79,8.0,6,6,29,0,45,0,1,1,41,72.0,4,3,2.0,73,0.5319148936170213,True,True,97.0,21
Good,85,232.0,2,105,26,0,0,100,122.0,7,7,41,2,39,0,2,2,5,,3,3,1.0,46,0.15600624024961,False,False,63.0,18
Bad,73,211.0,11,108,26,0,0,97,8.0,6,6,29,1,14,0,0,0,15,,6,1,0.0,47,0.5319148936170213,True,True,90.0,13
Bad,86,294.0,9,118,16,0,0,100,122.0,7,7,16,1,19,0,0,0,18,,2,2,0.0,44,0.15600624024961,False,False,100.0,7
Bad,60,37.0,9,22,11,0,0,100,122.0,7,7,11,1,55,36,8,8,112,61.0,3,1,0.0,100,0.15600624024961,False,False,100.0,11
Bad,73,407.0,2,72,29,0,0,90,6.0,6,6,59,2,10,1,4,4,0,56.0,3,1,0.0,31,0.5319148936170213,True,True,49.0,18
Bad,73,211.0,5,71,38,0,0,98,42.0,7,6,43,5,49,0,1,1,33,100.0,4,4,0.0,57,0.15600624024961,True,False,88.0,24
Good,80,172.0,1,92,21,0,0,100,122.0,7,7,22,2,27,0,1,1,37,,4,1,1.0,83,0.15600624024961,False,False,95.0,18
Good,84,138.0,3,69,13,0,0,100,122.0,7,7,13,2,31,0,0,0,26,,3,1,0.0,80,0.15600624024961,False,False,100.0,10
Bad,75,336.0,9,98,22,1,0,91,13.0,7,5,23,1,39,0,0,0,16,91.0,2,3,0.0,83,0.15600624024961,True,False,96.0,19
Good,83,294.0,4,110,22,0,0,86,16.0,7,6,22,2,45,0,0,0,1,96.0,2,2,0.0,36,0.15600624024961,True,False,100.0,7
Bad,58,188.0,5,83,8,0,0,64,2.0,6,6,11,3,9,0,1,1,59,,5,1,1.0,88,0.5319148936170213,True,True,73.0,9
Good,74,304.0,10,78,18,0,0,89,15.0,7,6,23,1,53,3,2,2,7,54.0,3,3,0.0,67,0.15600624024961,True,False,78.0,15
Bad,64,142.0,1,34,12,2,2,85,35.0,7,2,21,6,33,0,2,2,24,67.0,5,3,0.0,67,0.15600624024961,True,False,57.0,14
Good,84,160.0,4,70,18,0,0,100,122.0,7,7,18,2,39,0,0,0,26,97.0,2,2,0.0,40,0.15600624024961,False,False,100.0,7
Bad,63,197.0,15,91,39,0,0,98,18.0,7,6,40,0,30,0,2,2,58,22.0,8,2,3.0,56,0.15600624024961,True,False,98.0,22
Good,75,90.0,4,40,20,0,0,95,79.0,7,6,20,5,15,0,0,0,26,96.0,10,2,0.0,75,0.15600624024961,True,False,100.0,15
Bad,70,172.0,19,85,29,0,0,100,122.0,7,7,31,0,16,0,1,1,65,,9,1,3.0,77,0.15600624024961,False,False,94.0,23
Good,90,233.0,14,100,20,0,0,100,122.0,7,7,20,0,35,0,0,0,10,,4,3,0.0,54,0.15600624024961,False,False,100.0,10
Bad,63,316.0,16,92,27,0,0,85,31.0,7,6,27,0,30,0,1,1,76,65.0,11,3,5.0,74,0.15600624024961,True,False,100.0,19
Good,71,108.0,1,55,14,1,1,88,62.0,7,3,17,4,63,2,3,3,37,95.0,2,3,0.0,63,0.15600624024961,True,False,82.0,10
Bad,56,57.0,16,30,6,4,4,67,4.0,2,2,9,0,89,0,1,1,0,70.0,1,2,0.0,100,0.5319148936170213,True,True,67.0,9
Good,64,303.0,15,116,18,6,5,65,31.0,7,2,19,0,52,0,2,2,12,13.0,3,4,0.0,70,0.15600624024961,True,False,95.0,13
Bad,85,358.0,36,157,4,1,0,80,55.0,7,5,5,0,0,0,0,0,0,,0,2,0.0,0,0.15600624024961,True,False,80.0,0
Good,85,165.0,10,90,16,0,0,100,122.0,7,7,16,1,31,0,2,2,0,,1,2,0.0,50,0.15600624024961,False,False,100.0,8
Good,61,46.0,1,18,20,0,0,100,122.0,7,7,21,5,14,2,2,2,51,60.0,13,2,2.0,84,0.15600624024961,False,False,95.0,17
Bad,52,158.0,4,39,25,0,0,88,11.0,6,6,26,9,50,0,7,6,82,89.0,7,4,2.0,92,0.5319148936170213,True,True,96.0,23
Bad,89,179.0,5,77,22,0,0,100,122.0,7,7,22,1,41,36,0,0,1,95.0,1,3,0.0,80,0.15600624024961,False,False,100.0,17
Bad,65,183.5,2,13,5,0,0,100,122.0,7,7,7,4,57,36,2,2,54,88.0,2,2,0.0,80,0.15600624024961,False,False,71.0,5
Bad,69,306.0,8,48,21,0,0,91,18.0,7,6,37,1,27,36,1,1,38,77.0,5,3,2.0,50,0.15600624024961,True,False,57.0,18
Good,70,51.0,11,36,8,0,0,100,122.0,7,7,8,1,75,0,1,1,27,74.0,3,2,0.5,100,0.15600624024961,False,False,100.0,8
Bad,58,149.0,4,64,30,0,0,93,34.0,7,6,30,3,37,0,3,3,90,77.0,7,8,4.0,83,0.15600624024961,True,False,100.0,24
Good,80,378.0,21,163,20,0,0,100,122.0,7,7,21,0,29,17,0,0,45,63.0,8,2,1.0,83,0.15600624024961,False,False,95.0,17
Bad,63,187.0,23,110,12,2,2,80,67.0,7,4,15,0,53,16,0,0,81,,2,2,1.0,100,0.15600624024961,True,False,80.0,15
Bad,69,126.0,2,48,20,0,0,100,122.0,7,7,21,2,43,0,1,1,79,73.0,5,3,3.0,67,0.15600624024961,False,False,95.0,14
Good,72,199.0,0,84,15,1,1,94,35.0,7,2,19,3,47,0,3,3,10,,4,2,0.0,56,0.15600624024961,True,False,79.0,10
Bad,74,228.0,8,78,19,0,0,100,122.0,7,7,20,1,50,0,0,0,61,93.0,4,2,0.0,100,0.15600624024961,False,False,95.0,20
Good,81,58.0,34,49,5,0,0,100,122.0,7,7,5,0,80,0,0,0,14,60.0,1,2,0.5,100,0.15600624024961,False,False,100.0,5
Bad,61,281.0,9,107,22,2,0,79,2.0,6,5,24,4,42,6,0,0,86,91.0,3,3,2.0,78,0.5319148936170213,True,True,92.0,18
Good,69,99.0,8,40,16,0,0,94,8.0,6,6,17,3,19,9,0,0,22,,5,2,1.0,100,0.5319148936170213,True,True,94.0,17
Good,78,436.0,3,91,19,1,1,95,60.0,7,4,20,3,25,0,0,0,28,93.0,2,2,1.0,67,0.15600624024961,True,False,95.0,13
Bad,61,132.0,1,71,12,2,0,81,71.0,7,5,16,3,31,0,5,5,86,,7,1,3.0,80,0.15600624024961,True,False,75.0,12
Bad,61,79.0,4,36,19,0,0,95,5.0,6,6,19,3,26,0,6,6,31,86.0,5,3,1.0,62,0.5319148936170213,True,True,100.0,11
Good,80,342.0,3,122,38,0,0,100,122.0,7,7,39,4,28,3,3,3,0,,2,2,0.0,43,0.15600624024961,False,False,97.0,16
Good,72,413.0,10,70,31,0,0,97,54.0,7,6,31,2,74,0,1,1,25,,2,1,1.0,43,0.15600624024961,True,False,100.0,13
Good,73,200.0,2,83,32,0,0,100,122.0,7,7,48,3,42,1,3,3,25,97.0,4,1,1.0,71,0.15600624024961,False,False,67.0,34
Good,82,191.0,9,77,31,0,0,90,22.0,7,6,31,1,16,0,1,1,7,82.0,4,1,0.0,42,0.15600624024961,True,False,100.0,13
Good,70,252.0,2,79,50,0,0,98,24.0,7,6,56,4,32,36,7,7,28,65.0,3,5,1.0,40,0.15600624024961,True,False,89.0,22
Good,72,242.0,33,115,11,3,0,71,19.0,7,5,14,0,43,9,0,0,52,,3,1,1.0,100,0.15600624024961,True,False,79.0,14
Bad,62,153.0,20,40,5,0,0,20,7.0,6,6,12,0,100,36,0,0,27,75.0,3,2,0.5,100,0.5319148936170213,True,True,42.0,12
Good,87,341.0,6,101,32,0,0,100,122.0,7,7,33,1,3,0,0,0,6,,3,2,0.0,27,0.15600624024961,False,False,97.0,8
Good,84,131.0,10,61,30,0,0,100,122.0,7,7,30,2,53,36,0,0,18,22.0,3,2,0.0,63,0.15600624024961,False,False,100.0,18
Bad,64,283.0,18,94,30,2,0,88,3.0,5,5,33,0,33,0,2,1,31,86.0,10,2,1.0,75,0.5319148936170213,True,True,91.0,24
Good,66,273.0,1,111,26,0,0,100,122.0,7,7,28,1,7,0,3,3,74,,7,2,5.0,58,0.15600624024961,False,False,93.0,16
Bad,57,184.0,25,80,11,4,0,63,2.0,5,5,16,0,25,0,1,1,39,,2,1,0.0,60,0.5319148936170213,True,True,69.0,9
Bad,71,124.0,7,53,12,1,1,92,37.0,7,2,14,1,64,0,1,1,43,34.0,2,3,1.0,75,0.15600624024961,True,False,86.0,10
Bad,86,155.0,69,127,9,0,0,100,122.0,7,7,9,0,44,0,0,0,12,,2,2,0.0,100,0.15600624024961,False,False,100.0,9
Good,91,342.0,42,130,14,0,0,100,122.0,7,7,14,0,36,0,0,0,3,,2,2,0.0,50,0.15600624024961,False,False,100.0,7
Good,92,233.0,11,72,6,0,0,100,122.0,7,7,13,1,33,0,0,0,0,,0,1,0.0,25,0.15600624024961,False,False,46.0,3
Good,84,230.0,3,95,24,0,0,100,122.0,7,7,48,3,24,3,2,2,21,,3,1,1.0,36,0.15600624024961,False,False,50.0,17
Bad,66,155.0,15,70,46,0,0,96,57.5,7,6,48,0,69,0,0,0,88,79.0,6,4,3.0,100,0.15600624024961,True,False,96.0,48
Good,84,137.0,3,87,22,0,0,95,57.5,7,6,22,1,41,0,0,0,8,,2,1,0.0,43,0.15600624024961,True,False,100.0,9
Bad,61,60.0,13,41,19,0,0,100,122.0,7,7,21,0,38,0,0,0,89,,5,1,4.0,100,0.15600624024961,False,False,90.0,21
Bad,56,30.0,20,26,3,0,0,75,10.0,6,6,4,0,50,0,0,0,97,77.0,2,1,1.0,100,0.5319148936170213,True,True,75.0,4
Good,88,162.0,10,98,10,0,0,100,122.0,7,7,15,1,20,9,0,0,0,,4,1,1.0,100,0.15600624024961,False,False,67.0,15
Good,78,185.0,10,77,35,0,0,97,59.0,7,6,37,1,29,13,0,0,49,41.0,3,2,0.0,83,0.15600624024961,True,False,95.0,30
Good,70,188.0,1,59,45,0,0,100,122.0,7,7,50,6,24,0,6,6,29,45.0,5,3,1.0,43,0.15600624024961,False,False,90.0,21
Bad,76,168.0,12,63,21,1,1,88,66.0,7,4,24,0,54,19,0,0,48,67.0,3,6,0.0,69,0.15600624024961,True,False,88.0,16
Good,69,187.0,2,98,29,0,0,97,25.0,7,6,30,3,37,2,2,2,33,74.0,7,4,2.0,73,0.15600624024961,True,False,97.0,21
Bad,67,117.0,3,47,13,1,0,86,17.0,7,5,14,3,36,0,2,2,29,,3,1,0.0,67,0.15600624024961,True,False,93.0,9
Good,77,191.0,8,97,11,0,0,86,45.0,7,6,14,1,50,36,0,0,43,,2,1,0.0,100,0.15600624024961,True,False,79.0,14
Bad,56,324.0,2,100,39,0,0,95,15.0,7,6,42,2,14,0,4,4,94,,20,1,18.0,85,0.15600624024961,True,False,93.0,35
Bad,56,95.0,2,24,15,0,0,100,122.0,7,7,19,4,44,4,1,1,73,87.0,5,6,2.0,85,0.15600624024961,False,False,79.0,16
Good,79,252.0,10,99,26,1,1,89,38.0,7,3,28,1,43,10,0,0,2,15.0,3,2,0.0,56,0.15600624024961,True,False,93.0,15
Bad,64,144.0,2,63,18,2,2,85,72.0,7,3,21,3,50,0,6,6,60,80.0,2,5,1.0,78,0.15600624024961,True,False,86.0,16
Bad,61,264.0,11,110,12,4,3,69,4.0,4,4,16,2,38,0,2,2,2,,1,1,0.0,33,0.5319148936170213,True,True,75.0,5
Good,67,152.0,3,37,23,1,1,96,64.0,7,2,24,3,25,36,1,1,40,49.0,11,3,1.0,78,0.15600624024961,True,False,96.0,18
Bad,51,129.0,14,72,8,5,3,54,3.0,3,3,13,0,38,36,1,1,95,80.0,3,2,2.0,100,0.5319148936170213,True,True,62.0,13
Bad,86,296.0,7,112,20,0,0,100,122.0,7,7,22,1,41,0,0,0,17,96.0,2,1,0.0,33,0.15600624024961,False,False,91.0,7
Good,79,242.0,21,99,33,0,0,100,122.0,7,7,35,0,34,14,0,0,33,,8,2,2.0,53,0.15600624024961,False,False,94.0,18
Good,65,287.0,16,82,31,4,2,85,45.0,7,5,34,0,62,3,1,1,84,72.0,2,5,2.0,89,0.15600624024961,True,False,91.0,30
Bad,66,51.0,13,25,6,0,0,100,122.0,7,7,6,0,33,1,1,1,97,,4,1,2.0,100,0.15600624024961,False,False,100.0,6
Bad,67,66.0,5,24,9,0,0,100,122.0,7,7,9,4,44,0,4,4,53,66.0,4,2,1.0,86,0.15600624024961,False,False,100.0,7
Bad,61,288.0,4,100,36,0,0,97,11.0,6,6,37,5,51,0,3,3,65,76.0,6,11,2.0,95,0.5319148936170213,True,True,97.0,35
Good,69,241.0,4,82,48,0,0,100,122.0,7,7,48,2,10,0,2,2,34,45.0,8,2,4.0,48,0.15600624024961,False,False,100.0,23
Good,83,158.0,27,93,15,0,0,100,122.0,7,7,15,0,33,0,0,0,1,,1,1,0.0,50,0.15600624024961,False,False,100.0,7
Good,85,192.0,7,111,22,0,0,100,122.0,7,7,22,2,23,0,1,1,14,,3,1,0.0,67,0.15600624024961,False,False,100.0,14
Bad,61,125.0,12,48,30,0,0,97,38.0,7,6,30,0,43,0,3,3,47,68.0,5,4,2.0,69,0.15600624024961,True,False,100.0,20
Bad,54,191.0,5,89,11,6,4,73,22.0,2,2,14,3,40,4,1,1,15,73.0,2,1,0.0,75,0.5319148936170213,True,True,79.0,10
Bad,86,74.0,46,60,2,0,0,100,122.0,7,7,2,0,50,0,0,0,27,,0,2,0.5,0,0.15600624024961,False,False,100.0,0
Bad,75,169.0,6,86,20,0,0,95,57.5,7,6,41,2,57,6,0,0,57,71.0,3,2,2.0,83,0.15600624024961,True,False,49.0,34
Bad,78,126.0,12,60,11,0,0,100,122.0,7,7,15,0,33,36,0,0,53,86.0,2,2,2.0,80,0.15600624024961,False,False,73.0,12
Good,78,149.0,5,61,43,0,0,100,122.0,7,7,44,1,47,1,2,2,9,91.0,3,9,0.0,80,0.15600624024961,False,False,98.0,35
Good,76,160.0,5,55,15,0,0,100,122.0,7,7,28,2,47,4,1,1,60,96.0,2,3,1.0,100,0.15600624024961,False,False,54.0,28
Bad,77,263.0,1,92,28,0,0,97,57.5,7,6,30,3,20,1,2,2,21,,5,1,1.0,60,0.15600624024961,True,False,93.0,18
Bad,59,176.0,19,65,16,1,1,71,20.0,7,2,17,0,82,36,1,0,90,72.0,1,3,1.0,100,0.15600624024961,True,False,94.0,17
Bad,68,42.0,1,20,13,0,0,100,122.0,7,7,16,6,31,0,8,8,39,89.0,2,4,0.0,54,0.15600624024961,False,False,81.0,8
Bad,72,137.0,3,78,14,1,1,63,14.0,7,3,16,2,25,0,3,3,1,,1,1,0.0,38,0.15600624024961,True,False,88.0,6
Good,90,230.0,9,84,26,0,0,100,122.0,7,7,28,2,57,9,0,0,1,85.0,1,3,0.0,44,0.15600624024961,False,False,93.0,12
Good,83,198.0,3,53,38,0,0,100,122.0,7,7,39,6,8,36,4,2,4,,2,1,0.0,18,0.15600624024961,False,False,97.0,7
Good,81,165.0,14,95,34,0,0,100,122.0,7,7,34,0,32,2,1,1,5,62.0,6,3,0.0,60,0.15600624024961,False,False,100.0,20
Bad,62,181.0,9,70,9,1,0,60,6.0,6,5,10,1,60,36,1,1,64,11.0,2,2,1.0,100,0.5319148936170213,True,True,90.0,10
Bad,65,180.0,2,81,7,2,0,73,15.0,7,5,11,2,18,0,0,0,81,,2,1,1.0,100,0.15600624024961,True,False,64.0,11
Good,64,130.0,1,33,13,0,0,100,122.0,7,7,14,6,0,4,1,1,64,,7,2,3.0,78,0.15600624024961,False,False,93.0,10
Good,74,99.0,2,47,15,0,0,81,17.0,7,6,16,2,50,36,0,0,0,75.0,0,2,0.0,33,0.15600624024961,True,False,94.0,5
Bad,59,180.0,4,60,49,0,0,98,20.0,7,6,49,6,37,2,3,3,45,70.0,10,4,2.0,82,0.15600624024961,True,False,100.0,40
Bad,65,116.0,3,39,22,0,0,95,15.0,7,6,22,3,32,0,1,1,50,47.0,5,4,1.0,69,0.15600624024961,True,False,100.0,15
Good,68,98.0,0,48,28,1,1,94,27.0,7,4,32,6,19,1,6,6,53,95.0,5,2,1.0,50,0.15600624024961,True,False,88.0,16
Bad,65,153.0,4,81,17,0,0,89,29.0,7,6,19,3,53,1,1,1,60,,4,2,0.0,86,0.15600624024961,True,False,89.0,16
Bad,63,88.0,8,41,25,0,0,92,20.0,7,6,26,1,35,0,2,2,25,72.0,3,3,2.0,38,0.15600624024961,True,False,96.0,9
Bad,77,98.0,1,46,22,0,0,100,122.0,7,7,33,5,30,36,4,4,2,92.0,3,3,0.0,46,0.15600624024961,False,False,67.0,15
